band_name,subgenre,country,years_active,headliner_status,avg_monthly_streams
"Eternal Void","Groove Metal","USA","16","Headliner","4153539"
"Iron Serpent","Metalcore","USA","22","Headliner","969957"
"Crimson Hammer","Thrash Metal","USA","26","Headliner","3683641"
"Shadow Throne","Death Metal","USA","14","Headliner","826442"
"Blackened Sky","Progressive Metal","USA","12","Headliner","3875303"
"Steel Reaper","Deathcore","Sweden","13","Headliner","2775468"
"Venom Storm","Sludge Metal","Norway","14","Headliner","1707746"
"Dark Prophecy","Black Metal","Finland","23","Headliner","1906418"
"Blood Oath","Folk Metal","Germany","3","Headliner","3821029"
"Frozen Crown","Metalcore","UK","11","Headliner","2491257"
"Death Valley","Folk Metal","Netherlands","9","Support","371389"
"Chaos Theory","Deathcore","Brazil","5","Support","307993"
"Infernal Machine","Metalcore","Japan","28","Support","297750"
"Grave Keeper","Folk Metal","Canada","28","Support","443836"
"War Ensemble","Folk Metal","Poland","4","Support","285736"
"Silent Scream","Metalcore","USA","17","Support","206961"
"Nuclear Winter","Symphonic Metal","USA","10","Support","390474"
"Serpent King","Symphonic Metal","USA","18","Support","330631"
"Toxic Reign","Deathcore","USA","11","Support","188532"
"Lightning Bolt","Groove Metal","USA","24","Support","129167"
"Ancient Curse","Sludge Metal","Sweden","6","Support","495753"
"Phantom Lord","Power Metal","Norway","10","Support","214811"
"Burning Skies","Doom Metal","Finland","8","Support","135842"
"Crystal Tears","Black Metal","Germany","24","Support","439532"
"Dragon Force","Thrash Metal","UK","15","Support","340580"
"Eclipse Rising","Folk Metal","Netherlands","28","Opener","21390"
"Fallen Angels","Folk Metal","Brazil","14","Opener","45016"
"Ghost Legion","Thrash Metal","Japan","22","Opener","29655"
"Hellfire","Metalcore","Canada","3","Opener","30455"
"Ice Queen","Doom Metal","Poland","23","Opener","48323"
"Judas Crown","Groove Metal","USA","6","Opener","98833"
"Kill Switch","Progressive Metal","USA","7","Opener","29886"
"Legion of Doom","Folk Metal","USA","8","Opener","51556"
"Midnight Rider","Doom Metal","USA","10","Opener","70836"
"Night Terror","Thrash Metal","USA","29","Opener","82666"
"Oblivion","Deathcore","Sweden","3","Opener","42702"
"Pain Dealer","Groove Metal","Norway","7","Opener","48617"
"Quantum Rift","Progressive Metal","Finland","19","Opener","55517"
"Razorback","Folk Metal","Germany","26","Opener","79053"
"Storm Bringer","Thrash Metal","UK","12","Opener","44221"
"Thunder God","Power Metal","Netherlands","24","Opener","64425"
"Unleashed Fury","Thrash Metal","Brazil","27","Opener","47839"
"Vortex","Folk Metal","Japan","7","Opener","46582"
"Warlord","Sludge Metal","Canada","15","Opener","36037"
"Xenomorph","Metalcore","Poland","28","Opener","38809"
"Yin Yang","Doom Metal","USA","11","Opener","41911"
"Zero Hour","Power Metal","USA","27","Opener","24417"
"Atomic Blast","Symphonic Metal","USA","13","Opener","31609"
"Brutal Truth","Metalcore","USA","10","Opener","88277"
"Carnage Inc","Symphonic Metal","USA","13","Opener","36935"
