customer_id,age_group,gender,state,country,distance_traveled_miles,previous_attendance,purchase_platform
"CUST000001","45-54","Male","PA","USA","75","Second Time","StubHub"
"CUST000002","45-54","Male","SC","USA","642","Returning (3+)","StubHub"
"CUST000003","35-44","Male","MI","USA","517","Returning (3+)","StubHub"
"CUST000004","55+","Female","NJ","USA","100","Second Time","Festival Website"
"CUST000005","25-34","Male","PA","USA","123","Returning (3+)","SeatGeek"
"CUST000006","35-44","Prefer not to say","SC","USA","459","First Time","SeatGeek"
"CUST000007","25-34","Female","CT","USA","267","First Time","Festival Website"
"CUST000008","18-24","Prefer not to say","MI","USA","413","First Time","Dice"
"CUST000009","25-34","Non-Binary","NJ","USA","113","Second Time","Dice"
"CUST000010","18-24","Non-Binary","PA","USA","111","Returning (3+)","SeatGeek"
"CUST000011","18-24","Male","GA","USA","639","First Time","SeatGeek"
"CUST000012","55+","Female","MI","USA","560","Second Time","Festival Website"
"CUST000013","55+","Male","NY","USA","296","First Time","Festival Website"
"CUST000014","35-44","Prefer not to say","NJ","USA","101","Second Time","StubHub"
"CUST000015","45-54","Female","PA","USA","71","Second Time","StubHub"
"CUST000016","35-44","Non-Binary","NC","USA","307","Second Time","SeatGeek"
"CUST000017","25-34","Prefer not to say","PA","USA","1","First Time","SeatGeek"
"CUST000018","25-34","Non-Binary","MA","USA","306","First Time","Eventbrite"
"CUST000019","25-34","Prefer not to say","NY","USA","243","First Time","Festival Website"
"CUST000020","45-54","Male","OH","USA","283","Returning (3+)","Eventbrite"
"CUST000021","35-44","Female","RI","USA","389","First Time","Eventbrite"
"CUST000022","18-24","Non-Binary","PA","USA","113","First Time","SeatGeek"
"CUST000023","18-24","Female","PA","USA","89","Returning (3+)","Festival Website"
"CUST000024","55+","Prefer not to say","NC","USA","306","Second Time","Dice"
"CUST000025","35-44","Prefer not to say","NY","USA","158","First Time","Festival Website"
"CUST000026","45-54","Male","FL","USA","1169","First Time","SeatGeek"
"CUST000027","25-34","Male","PA","USA","51","First Time","Festival Website"
"CUST000028","55+","Male","MA","USA","365","Second Time","Ticketmaster"
"CUST000029","18-24","Female","TX","USA","1468","Returning (3+)","Eventbrite"
"CUST000030","45-54","Non-Binary","MD","USA","151","Second Time","SeatGeek"
"CUST000031","25-34","Male","FL","USA","995","Second Time","Dice"
"CUST000032","55+","Non-Binary","PA","USA","58","First Time","Eventbrite"
"CUST000033","45-54","Female","CA","USA","2776","Second Time","Dice"
"CUST000034","18-24","Prefer not to say","MD","USA","141","First Time","Ticketmaster"
"CUST000035","35-44","Prefer not to say","NC","USA","377","Returning (3+)","StubHub"
"CUST000036","25-34","Prefer not to say","CA","USA","2564","Second Time","Eventbrite"
"CUST000037","35-44","Female","NY","USA","296","Returning (3+)","StubHub"
"CUST000038","18-24","Non-Binary","RI","USA","380","Returning (3+)","Festival Website"
"CUST000039","18-24","Non-Binary","RI","USA","330","First Time","SeatGeek"
"CUST000040","55+","Non-Binary","NY","USA","279","Second Time","Festival Website"
"CUST000041","45-54","Non-Binary","VA","USA","244","Second Time","SeatGeek"
"CUST000042","25-34","Male","NY","USA","262","Returning (3+)","Festival Website"
"CUST000043","25-34","Prefer not to say","FL","USA","1033","Returning (3+)","Dice"
"CUST000044","45-54","Prefer not to say","MI","USA","581","Second Time","StubHub"
"CUST000045","45-54","Prefer not to say","IL","USA","653","First Time","StubHub"
"CUST000046","35-44","Male","MD","USA","69","Second Time","Ticketmaster"
"CUST000047","25-34","Male","IL","USA","718","Returning (3+)","Eventbrite"
"CUST000048","25-34","Prefer not to say","CA","USA","2702","First Time","Festival Website"
"CUST000049","35-44","Non-Binary","GA","USA","660","Returning (3+)","SeatGeek"
"CUST000050","45-54","Non-Binary","MI","USA","430","Returning (3+)","StubHub"
"CUST000051","35-44","Female","MD","USA","163","Returning (3+)","SeatGeek"
"CUST000052","55+","Male","NY","USA","273","First Time","Festival Website"
"CUST000053","45-54","Male","PA","USA","81","First Time","Eventbrite"
"CUST000054","45-54","Male","MD","USA","140","First Time","Ticketmaster"
"CUST000055","55+","Female","MD","USA","92","Returning (3+)","Ticketmaster"
"CUST000056","55+","Prefer not to say","MI","USA","566","Second Time","SeatGeek"
"CUST000057","35-44","Male","PA","USA","32","Returning (3+)","Ticketmaster"
"CUST000058","25-34","Male","PA","USA","64","First Time","Eventbrite"
"CUST000059","25-34","Prefer not to say","NY","USA","161","First Time","Ticketmaster"
"CUST000060","35-44","Prefer not to say","PA","USA","132","Second Time","Festival Website"
"CUST000061","18-24","Female","GA","USA","774","First Time","Dice"
"CUST000062","45-54","Prefer not to say","FL","USA","872","First Time","StubHub"
"CUST000063","35-44","Female","MD","USA","148","Second Time","Ticketmaster"
"CUST000064","18-24","Prefer not to say","TX","USA","1400","Returning (3+)","StubHub"
"CUST000065","55+","Male","MA","USA","341","Second Time","StubHub"
"CUST000066","35-44","Female","NY","USA","174","First Time","SeatGeek"
"CUST000067","35-44","Female","NJ","USA","124","First Time","Dice"
"CUST000068","25-34","Non-Binary","VA","USA","281","Second Time","Ticketmaster"
"CUST000069","25-34","Prefer not to say","GA","USA","657","Returning (3+)","Festival Website"
"CUST000070","55+","Prefer not to say","NJ","USA","123","Second Time","Eventbrite"
"CUST000071","35-44","Prefer not to say","MI","USA","535","First Time","Eventbrite"
"CUST000072","55+","Male","CA","USA","2991","First Time","StubHub"
"CUST000073","45-54","Prefer not to say","MA","USA","321","Returning (3+)","Eventbrite"
"CUST000074","45-54","Non-Binary","NY","USA","260","Second Time","Festival Website"
"CUST000075","18-24","Non-Binary","OH","USA","306","Second Time","Festival Website"
"CUST000076","35-44","Prefer not to say","NC","USA","396","Returning (3+)","StubHub"
"CUST000077","55+","Female","MI","USA","576","Returning (3+)","SeatGeek"
"CUST000078","35-44","Female","NY","USA","282","Returning (3+)","Eventbrite"
"CUST000079","55+","Male","NC","USA","484","Second Time","SeatGeek"
"CUST000080","55+","Male","PA","USA","27","Second Time","Dice"
"CUST000081","25-34","Male","VA","USA","279","Second Time","Festival Website"
"CUST000082","55+","Non-Binary","NY","USA","190","Second Time","Dice"
"CUST000083","25-34","Prefer not to say","SC","USA","507","Returning (3+)","Festival Website"
"CUST000084","45-54","Female","NY","USA","231","Second Time","Festival Website"
"CUST000085","18-24","Female","NJ","USA","141","Returning (3+)","Festival Website"
"CUST000086","45-54","Male","TX","USA","1665","Second Time","Eventbrite"
"CUST000087","18-24","Non-Binary","CT","USA","327","Returning (3+)","Eventbrite"
"CUST000088","45-54","Prefer not to say","CA","USA","2644","First Time","SeatGeek"
"CUST000089","55+","Prefer not to say","MD","USA","51","First Time","StubHub"
"CUST000090","45-54","Male","RI","USA","319","First Time","SeatGeek"
"CUST000091","25-34","Prefer not to say","MI","USA","428","First Time","Ticketmaster"
"CUST000092","25-34","Female","PA","USA","47","Second Time","StubHub"
"CUST000093","45-54","Non-Binary","FL","USA","801","First Time","SeatGeek"
"CUST000094","18-24","Prefer not to say","OH","USA","281","First Time","Dice"
"CUST000095","18-24","Male","NY","USA","260","First Time","Dice"
"CUST000096","18-24","Female","NY","USA","162","First Time","Festival Website"
"CUST000097","35-44","Female","MD","USA","98","Returning (3+)","Eventbrite"
"CUST000098","18-24","Non-Binary","PA","USA","105","Returning (3+)","Dice"
"CUST000099","45-54","Female","NY","USA","164","Second Time","Dice"
"CUST000100","55+","Non-Binary","NY","USA","218","Returning (3+)","Festival Website"
"CUST000101","45-54","Male","PA","USA","118","Second Time","StubHub"
"CUST000102","18-24","Prefer not to say","MD","USA","105","Returning (3+)","Dice"
"CUST000103","35-44","Female","MI","USA","566","Returning (3+)","Festival Website"
"CUST000104","18-24","Non-Binary","NC","USA","376","Second Time","Festival Website"
"CUST000105","18-24","Non-Binary","NJ","USA","178","Second Time","Eventbrite"
"CUST000106","18-24","Prefer not to say","NY","USA","194","Returning (3+)","Dice"
"CUST000107","18-24","Prefer not to say","NJ","USA","134","First Time","Festival Website"
"CUST000108","18-24","Male","PA","USA","78","First Time","Eventbrite"
"CUST000109","55+","Non-Binary","PA","USA","148","Second Time","Festival Website"
"CUST000110","18-24","Prefer not to say","GA","USA","667","Returning (3+)","Dice"
"CUST000111","55+","Non-Binary","PA","USA","17","Returning (3+)","SeatGeek"
"CUST000112","35-44","Male","MD","USA","125","Second Time","Ticketmaster"
"CUST000113","35-44","Non-Binary","NY","USA","266","Returning (3+)","Ticketmaster"
"CUST000114","25-34","Male","FL","USA","1093","First Time","Eventbrite"
"CUST000115","55+","Male","CA","USA","2747","First Time","SeatGeek"
"CUST000116","35-44","Prefer not to say","DE","USA","178","First Time","Ticketmaster"
"CUST000117","25-34","Non-Binary","NJ","USA","236","Returning (3+)","Ticketmaster"
"CUST000118","45-54","Female","NY","USA","278","First Time","SeatGeek"
"CUST000119","25-34","Prefer not to say","OH","USA","337","Second Time","Ticketmaster"
"CUST000120","35-44","Male","PA","USA","10","Returning (3+)","StubHub"
"CUST000121","18-24","Non-Binary","NY","USA","229","First Time","Ticketmaster"
"CUST000122","25-34","Non-Binary","MI","USA","474","Second Time","StubHub"
"CUST000123","18-24","Female","PA","USA","22","Second Time","Dice"
"CUST000124","45-54","Female","PA","USA","131","Returning (3+)","Dice"
"CUST000125","35-44","Female","MI","USA","430","First Time","Festival Website"
"CUST000126","35-44","Non-Binary","TX","USA","1619","First Time","Ticketmaster"
"CUST000127","55+","Male","NY","USA","206","Second Time","Festival Website"
"CUST000128","18-24","Prefer not to say","MD","USA","192","Returning (3+)","SeatGeek"
"CUST000129","35-44","Non-Binary","MD","USA","61","Returning (3+)","Festival Website"
"CUST000130","25-34","Non-Binary","NY","USA","269","Second Time","Ticketmaster"
"CUST000131","35-44","Prefer not to say","NC","USA","415","Returning (3+)","Eventbrite"
"CUST000132","25-34","Male","CT","USA","290","Second Time","Eventbrite"
"CUST000133","45-54","Non-Binary","IL","USA","714","Second Time","Festival Website"
"CUST000134","18-24","Non-Binary","OH","USA","281","First Time","Eventbrite"
"CUST000135","55+","Prefer not to say","CA","USA","2615","Returning (3+)","StubHub"
"CUST000136","18-24","Male","CA","USA","2931","First Time","Eventbrite"
"CUST000137","55+","Prefer not to say","MA","USA","343","Returning (3+)","StubHub"
"CUST000138","18-24","Female","MD","USA","109","Returning (3+)","Festival Website"
"CUST000139","18-24","Female","MD","USA","61","Returning (3+)","Eventbrite"
"CUST000140","25-34","Prefer not to say","PA","USA","145","Second Time","StubHub"
"CUST000141","45-54","Non-Binary","MD","USA","86","Second Time","SeatGeek"
"CUST000142","35-44","Female","PA","USA","8","Returning (3+)","SeatGeek"
"CUST000143","35-44","Male","PA","USA","43","Returning (3+)","SeatGeek"
"CUST000144","18-24","Prefer not to say","CT","USA","291","Second Time","StubHub"
"CUST000145","25-34","Female","MD","USA","69","Returning (3+)","StubHub"
"CUST000146","45-54","Prefer not to say","OH","USA","299","Second Time","Festival Website"
"CUST000147","35-44","Non-Binary","PA","USA","140","First Time","Ticketmaster"
