performance_id,band_name,stage,day,time_slot,set_length_minutes,estimated_attendance
"1","Eternal Void","Main Stage","2024-07-19","20:00","80","22024"
"2","Iron Serpent","Main Stage","2024-07-20","21:00","78","22281"
"3","Crimson Hammer","Main Stage","2024-07-21","22:30","77","24717"
"4","Shadow Throne","Main Stage","2024-07-19","20:00","79","23038"
"5","Blackened Sky","Main Stage","2024-07-20","21:30","90","21678"
"6","Steel Reaper","Main Stage","2024-07-21","22:30","77","21159"
"7","Venom Storm","Main Stage","2024-07-19","20:00","79","24929"
"8","Dark Prophecy","Main Stage","2024-07-20","21:30","89","19272"
"9","Blood Oath","Main Stage","2024-07-21","22:00","83","23560"
"10","Frozen Crown","Main Stage","2024-07-19","20:00","88","20383"
"11","Death Valley","Main Stage","2024-07-20","17:00","53","15689"
"12","Chaos Theory","Secondary Stage","2024-07-21","17:00","58","8849"
"13","Infernal Machine","Main Stage","2024-07-19","15:30","58","12227"
"14","Grave Keeper","Secondary Stage","2024-07-20","19:30","50","8361"
"15","War Ensemble","Main Stage","2024-07-21","18:30","45","13861"
"16","Silent Scream","Secondary Stage","2024-07-19","16:00","51","6830"
"17","Nuclear Winter","Main Stage","2024-07-20","16:00","58","16888"
"18","Serpent King","Secondary Stage","2024-07-21","17:30","47","7419"
"19","Toxic Reign","Main Stage","2024-07-19","19:00","47","11896"
"20","Lightning Bolt","Secondary Stage","2024-07-20","16:00","51","7831"
"21","Ancient Curse","Main Stage","2024-07-21","15:30","57","11884"
"22","Phantom Lord","Secondary Stage","2024-07-19","16:30","52","6402"
"23","Burning Skies","Main Stage","2024-07-20","19:30","54","15760"
"24","Crystal Tears","Secondary Stage","2024-07-21","19:00","54","6559"
"25","Dragon Force","Main Stage","2024-07-19","17:30","49","12514"
"26","Eclipse Rising","Secondary Stage","2024-07-20","16:00","37","6548"
"27","Fallen Angels","Underground Stage","2024-07-21","13:30","43","3527"
"28","Ghost Legion","Underground Stage","2024-07-19","14:00","43","1648"
"29","Hellfire","Underground Stage","2024-07-20","12:00","37","1397"
"30","Ice Queen","Secondary Stage","2024-07-21","13:00","32","5767"
"31","Judas Crown","Secondary Stage","2024-07-19","12:30","41","3821"
"32","Kill Switch","Underground Stage","2024-07-20","13:00","37","1137"
"33","Legion of Doom","Underground Stage","2024-07-21","13:00","42","2691"
"34","Midnight Rider","Secondary Stage","2024-07-19","13:00","42","4731"
"35","Night Terror","Underground Stage","2024-07-20","16:30","30","1477"
"36","Oblivion","Secondary Stage","2024-07-21","15:00","43","3406"
"37","Pain Dealer","Secondary Stage","2024-07-19","15:00","31","7074"
"38","Quantum Rift","Underground Stage","2024-07-20","12:30","34","2469"
"39","Razorback","Secondary Stage","2024-07-21","15:30","39","3187"
"40","Storm Bringer","Secondary Stage","2024-07-19","16:00","32","5201"
"41","Thunder God","Underground Stage","2024-07-20","12:00","40","2616"
"42","Unleashed Fury","Underground Stage","2024-07-21","12:00","41","2870"
"43","Vortex","Underground Stage","2024-07-19","12:00","36","2141"
"44","Warlord","Secondary Stage","2024-07-20","12:30","30","3678"
"45","Xenomorph","Underground Stage","2024-07-21","13:00","38","3766"
"46","Yin Yang","Secondary Stage","2024-07-19","15:00","45","6827"
"47","Zero Hour","Underground Stage","2024-07-20","15:00","33","2961"
"48","Atomic Blast","Underground Stage","2024-07-21","12:00","30","2005"
"49","Brutal Truth","Secondary Stage","2024-07-19","14:00","38","5749"
"50","Carnage Inc","Secondary Stage","2024-07-20","14:30","45","5056"
