metric_id,band_name,month,total_streams,monthly_listeners,playlist_adds,social_media_followers
"1","Eternal Void","2023-08","3567570","209857","14689","25686"
"2","Eternal Void","2023-09","4637635","289852","43799","35334"
"3","Eternal Void","2023-10","4241626","223243","34931","62376"
"4","Eternal Void","2023-11","4737477","278675","34215","87269"
"5","Eternal Void","2023-12","4062484","203124","19429","72016"
"6","Eternal Void","2024-01","4471751","178870","17887","83046"
"7","Eternal Void","2024-02","4464482","186020","19532","76533"
"8","Eternal Void","2024-03","4311669","187463","33317","84180"
"9","Eternal Void","2024-04","4578407","240968","28916","41423"
"10","Eternal Void","2024-05","4381213","219060","19167","39639"
"11","Eternal Void","2024-06","4651063","211411","37789","139531"
"12","Eternal Void","2024-07","6348042","334107","74682","75571"
"13","Iron Serpent","2023-08","1034979","54472","2897","9056"
"14","Iron Serpent","2023-09","1017239","48439","4577","21313"
"15","Iron Serpent","2023-10","923605","51311","6349","18087"
"16","Iron Serpent","2023-11","943969","37758","4719","15596"
"17","Iron Serpent","2023-12","1033887","46994","2697","11372"
"18","Iron Serpent","2024-01","1095445","64437","9737","18987"
"19","Iron Serpent","2024-02","1058750","50416","2786","9999"
"20","Iron Serpent","2024-03","1094974","72998","6159","32849"
"21","Iron Serpent","2024-04","835530","33421","2658","21166"
"22","Iron Serpent","2024-05","1039218","57734","6350","16627"
"23","Iron Serpent","2024-06","1161521","55310","4782","10163"
"24","Iron Serpent","2024-07","1519684","84426","11578","15196"
"25","Crimson Hammer","2023-08","3807895","158662","15866","109476"
"26","Crimson Hammer","2023-09","3700737","246715","23550","55511"
"27","Crimson Hammer","2023-10","3611403","225712","30954","22356"
"28","Crimson Hammer","2023-11","4168036","231557","39695","49495"
"29","Crimson Hammer","2023-12","3952817","164700","30116","65307"
"30","Crimson Hammer","2024-01","3613964","157128","19876","65051"
"31","Crimson Hammer","2024-02","3279313","131172","12297","55605"
"32","Crimson Hammer","2024-03","3414518","200854","28454","82350"
"33","Crimson Hammer","2024-04","4235638","264727","32190","63534"
"34","Crimson Hammer","2024-05","4006090","190766","28376","59037"
"35","Crimson Hammer","2024-06","4781394","217336","40264","59767"
"36","Crimson Hammer","2024-07","5890559","327253","33294","53996"
"37","Shadow Throne","2023-08","718693","35934","3234","8820"
"38","Shadow Throne","2023-09","932634","46631","4196","7206"
"39","Shadow Throne","2023-10","825526","43448","5341","10548"
"40","Shadow Throne","2023-11","891859","52462","4459","6102"
"41","Shadow Throne","2023-12","889703","55606","6066","12789"
"42","Shadow Throne","2024-01","792134","41691","7544","14402"
"43","Shadow Throne","2024-02","816070","32642","7680","15015"
"44","Shadow Throne","2024-03","883708","40168","2454","21208"
"45","Shadow Throne","2024-04","747821","43989","6076","22902"
"46","Shadow Throne","2024-05","949438","49970","5366","11145"
"47","Shadow Throne","2024-06","1025168","41006","8023","22425"
"48","Shadow Throne","2024-07","1255336","83689","11357","29888"
"49","Blackened Sky","2023-08","4171414","166856","27809","65291"
"50","Blackened Sky","2023-09","3897238","229249","32094","81842"
"51","Blackened Sky","2023-10","4109297","205464","21439","44380"
"52","Blackened Sky","2023-11","4436508","295767","39145","64329"
"53","Blackened Sky","2023-12","4031367","237139","48376","69429"
"54","Blackened Sky","2024-01","3568492","223030","17066","32286"
"55","Blackened Sky","2024-02","4306136","215306","10252","26211"
"56","Blackened Sky","2024-03","4236922","176538","22430","73685"
"57","Blackened Sky","2024-04","3644490","214381","14577","52480"
"58","Blackened Sky","2024-05","3848402","183257","24901","20845"
"59","Blackened Sky","2024-06","5101738","242939","19435","119040"
"60","Blackened Sky","2024-07","4681423","275377","40126","38302"
"61","Steel Reaper","2023-08","2588661","136245","14631","14631"
"62","Steel Reaper","2023-09","2701060","180070","14045","22508"
"63","Steel Reaper","2023-10","2682271","116620","25146","39339"
"64","Steel Reaper","2023-11","2794514","111780","20120","41182"
"65","Steel Reaper","2023-12","3024499","120979","21996","65265"
"66","Steel Reaper","2024-01","2753378","183558","10707","12619"
"67","Steel Reaper","2024-02","3155227","166064","18029","56794"
"68","Steel Reaper","2024-03","2397437","133190","11987","50769"
"69","Steel Reaper","2024-04","3117760","194860","10844","28343"
"70","Steel Reaper","2024-05","3181864","132577","27841","37879"
"71","Steel Reaper","2024-06","2880145","169420","12000","52520"
"72","Steel Reaper","2024-07","4067020","239236","27113","51967"
"73","Venom Storm","2023-08","1762358","73431","11403","50520"
"74","Venom Storm","2023-09","1864404","84745","7676","34344"
"75","Venom Storm","2023-10","1823086","82867","7292","22788"
"76","Venom Storm","2023-11","1690951","105684","7045","36893"
"77","Venom Storm","2023-12","1489554","67707","10724","23584"
"78","Venom Storm","2024-01","1647535","109835","4805","50524"
"79","Venom Storm","2024-02","1875181","104176","16072","16965"
"80","Venom Storm","2024-03","1806479","72259","15484","46165"
"81","Venom Storm","2024-04","1619690","101230","6478","28872"
"82","Venom Storm","2024-05","1530469","90027","7652","21293"
"83","Venom Storm","2024-06","2084735","99273","20847","50278"
"84","Venom Storm","2024-07","2093392","139559","12742","43263"
"85","Dark Prophecy","2023-08","1782475","74269","5198","49909"
"86","Dark Prophecy","2023-09","1727583","101622","10365","18026"
"87","Dark Prophecy","2023-10","1862005","88666","6703","23698"
"88","Dark Prophecy","2023-11","2114085","91916","4404","11744"
"89","Dark Prophecy","2023-12","1783601","81072","6979","27141"
"90","Dark Prophecy","2024-01","1716022","85801","16343","37180"
"91","Dark Prophecy","2024-02","2186940","91122","10934","56860"
"92","Dark Prophecy","2024-03","2165950","113997","15289","47380"
"93","Dark Prophecy","2024-04","2024134","101206","16385","15181"
"94","Dark Prophecy","2024-05","2161994","86479","25943","29585"
"95","Dark Prophecy","2024-06","1941787","97089","7995","55969"
"96","Dark Prophecy","2024-07","2689583","149421","7016","43545"
"97","Blood Oath","2023-08","3852728","183463","9631","78889"
"98","Blood Oath","2023-09","3708045","161219","30017","85285"
"99","Blood Oath","2023-10","3586216","199234","26896","51800"
"100","Blood Oath","2023-11","4093690","227427","24562","33493"
"101","Blood Oath","2023-12","3505297","233686","18557","109832"
"102","Blood Oath","2024-01","4010206","182282","40102","91661"
"103","Blood Oath","2024-02","4003844","266922","16682","49571"
"104","Blood Oath","2024-03","3978517","234030","45089","77230"
"105","Blood Oath","2024-04","3902723","169683","17562","89762"
"106","Blood Oath","2024-05","3372361","140515","19672","41658"
"107","Blood Oath","2024-06","4793403","191736","20543","91302"
"108","Blood Oath","2024-07","5608826","350551","25494","95679"
"109","Frozen Crown","2023-08","2584642","103385","21969","47611"
"110","Frozen Crown","2023-09","2671454","157144","20035","60552"
"111","Frozen Crown","2023-10","2583291","151958","21274","51665"
"112","Frozen Crown","2023-11","2483551","112888","6898","35763"
"113","Frozen Crown","2023-12","2601540","104061","13007","28183"
"114","Frozen Crown","2024-01","2725787","113574","13628","40169"
"115","Frozen Crown","2024-02","2231467","89258","17851","13016"
"116","Frozen Crown","2024-03","2283771","120198","10048","38958"
"117","Frozen Crown","2024-04","2351330","111968","22043","47026"
"118","Frozen Crown","2024-05","2440533","106110","24405","53247"
"119","Frozen Crown","2024-06","2463503","164233","12965","15250"
"120","Frozen Crown","2024-07","3961662","247603","9904","56123"
"121","Death Valley","2023-08","422107","17587","2954","10552"
"122","Death Valley","2023-09","359045","17097","2611","6155"
"123","Death Valley","2023-10","396737","24796","3022","3549"
"124","Death Valley","2023-11","418003","16720","4180","1990"
"125","Death Valley","2023-12","410563","20528","2150","5618"
"126","Death Valley","2024-01","399195","17356","3991","3810"
"127","Death Valley","2024-02","354268","17713","3188","4871"
"128","Death Valley","2024-03","367020","17477","1295","2936"
"129","Death Valley","2024-04","387241","16836","1426","4783"
"130","Death Valley","2024-05","344257","15648","2536","4360"
"131","Death Valley","2024-06","476949","26497","993","5636"
"132","Death Valley","2024-07","512259","26961","2049","10458"
"133","Chaos Theory","2023-08","290100","19340","2296","4483"
"134","Chaos Theory","2023-09","329964","15712","1833","8799"
"135","Chaos Theory","2023-10","334252","13370","2841","4278"
"136","Chaos Theory","2023-11","312332","19520","2555","4997"
"137","Chaos Theory","2023-12","269905","10796","994","2699"
"138","Chaos Theory","2024-01","277671","14614","2950","4892"
"139","Chaos Theory","2024-02","329639","20602","2266","2746"
"140","Chaos Theory","2024-03","308897","19306","2100","4412"
"141","Chaos Theory","2024-04","320475","15260","801","2203"
"142","Chaos Theory","2024-05","313273","14239","1362","2088"
"143","Chaos Theory","2024-06","398763","16615","2278","10283"
"144","Chaos Theory","2024-07","467748","31183","2104","7483"
"145","Infernal Machine","2023-08","310381","12932","2257","2133"
"146","Infernal Machine","2023-09","288181","14409","1584","6038"
"147","Infernal Machine","2023-10","257282","11694","1125","5958"
"148","Infernal Machine","2023-11","335577","13982","3532","7303"
"149","Infernal Machine","2023-12","331869","17466","2370","4978"
"150","Infernal Machine","2024-01","328785","19340","2054","2540"
"151","Infernal Machine","2024-02","301132","13092","1380","6691"
"152","Infernal Machine","2024-03","323131","15387","2513","5856"
"153","Infernal Machine","2024-04","274205","13057","1371","6855"
"154","Infernal Machine","2024-05","299697","13030","1569","5161"
"155","Infernal Machine","2024-06","356795","16217","2098","2718"
"156","Infernal Machine","2024-07","444713","26159","3335","4669"
"157","Grave Keeper","2023-08","394948","15797","1579","8688"
"158","Grave Keeper","2023-09","426251","25073","2046","9945"
"159","Grave Keeper","2023-10","403992","16159","1580","8079"
"160","Grave Keeper","2023-11","446914","18621","3165","3277"
"161","Grave Keeper","2023-12","398143","18097","3384","10838"
"162","Grave Keeper","2024-01","465888","31059","4348","11524"
"163","Grave Keeper","2024-02","444351","20197","2488","9945"
"164","Grave Keeper","2024-03","379947","19997","4306","8073"
"165","Grave Keeper","2024-04","477121","19084","2147","3515"
"166","Grave Keeper","2024-05","482943","20997","4829","4587"
"167","Grave Keeper","2024-06","459600","22980","2106","2298"
"168","Grave Keeper","2024-07","611341","40756","3396","13024"
"169","War Ensemble","2023-08","300878","15835","3196","9427"
"170","War Ensemble","2023-09","273831","10953","3042","4107"
"171","War Ensemble","2023-10","280321","14753","2437","1752"
"172","War Ensemble","2023-11","255990","11635","3011","3359"
"173","War Ensemble","2023-12","245198","13622","1783","6048"
"174","War Ensemble","2024-01","250514","13184","939","2505"
"175","War Ensemble","2024-02","273120","15173","569","1899"
"176","War Ensemble","2024-03","311124","17284","1926","2570"
"177","War Ensemble","2024-04","305472","13281","1437","7738"
"178","War Ensemble","2024-05","256271","14237","1332","1863"
"179","War Ensemble","2024-06","295187","17363","2310","6026"
"180","War Ensemble","2024-07","449905","26465","2811","5356"
"181","Silent Scream","2023-08","195299","10849","1766","3515"
"182","Silent Scream","2023-09","221618","9635","2014","2799"
"183","Silent Scream","2023-10","216861","12047","765","4337"
"184","Silent Scream","2023-11","226131","15075","2660","2261"
"185","Silent Scream","2023-12","226251","9050","1810","1357"
"186","Silent Scream","2024-01","217362","9880","1901","5977"
"187","Silent Scream","2024-02","222475","14831","580","4651"
"188","Silent Scream","2024-03","233782","13751","2026","1461"
"189","Silent Scream","2024-04","192542","10696","1585","2005"
"190","Silent Scream","2024-05","186832","8123","1167","896"
"191","Silent Scream","2024-06","220954","14730","2099","4720"
"192","Silent Scream","2024-07","299781","19985","3372","4346"
"193","Nuclear Winter","2023-08","400585","19075","5007","7844"
"194","Nuclear Winter","2023-09","346369","15059","4618","5264"
