transaction_id,customer_id,vendor_type,vendor_name,product_category,amount,transaction_datetime,day
"TXN00000001","CUST018072","Food & Beverage","Riff Refreshments","Tacos","14","2024-07-21 03:24:26","2024-07-21"
"TXN00000002","CUST028807","Food & Beverage","Metal Munchies","Fries","8","2024-07-18 23:42:56","2024-07-19"
"TXN00000003","CUST025738","Merchandise","Blackened Apparel","T-Shirt","25","2024-07-19 19:52:03","2024-07-20"
"TXN00000004","CUST024475","Food & Beverage","Metal Munchies","Pizza Slice","8","2024-07-19 17:08:35","2024-07-20"
"TXN00000005","CUST012507","Food & Beverage","Riff Refreshments","Tacos","14","2024-07-18 18:34:26","2024-07-19"
"TXN00000006","CUST003584","Food & Beverage","Headbang Burgers","Burger","12","2024-07-21 03:19:36","2024-07-21"
"TXN00000007","CUST012085","Merchandise","Metal Mayhem Merch","Hoodie","50","2024-07-18 22:57:09","2024-07-19"
"TXN00000008","CUST023041","Food & Beverage","Riff Refreshments","Soda","6","2024-07-20 00:32:03","2024-07-20"
"TXN00000009","CUST018148","Merchandise","Blackened Apparel","Patch","12","2024-07-21 02:23:04","2024-07-21"
"TXN00000010","CUST022409","Food & Beverage","Doom Dogs","Soda","5","2024-07-19 20:26:45","2024-07-20"
"TXN00000011","CUST027019","Food & Beverage","Riff Refreshments","Energy Drink","6","2024-07-18 21:12:31","2024-07-19"
"TXN00000012","CUST026182","Food & Beverage","Thrash Tacos","BBQ Plate","15","2024-07-19 21:50:31","2024-07-20"
"TXN00000013","CUST005603","Food & Beverage","Doom Dogs","BBQ Plate","18","2024-07-20 23:25:08","2024-07-21"
"TXN00000014","CUST024745","Food & Beverage","Thrash Tacos","Beer","10","2024-07-19 23:57:59","2024-07-20"
"TXN00000015","CUST022542","Merchandise","Skull & Bones Co","Poster","25","2024-07-21 00:18:04","2024-07-21"
"TXN00000016","CUST022864","Food & Beverage","Heavy Metal BBQ","Pizza Slice","8","2024-07-19 03:30:11","2024-07-19"
"TXN00000017","CUST020816","Food & Beverage","Headbang Burgers","Soda","6","2024-07-18 21:22:28","2024-07-19"
"TXN00000018","CUST023899","Merchandise","Riff Raff Gear","Hoodie","50","2024-07-18 19:54:19","2024-07-19"
"TXN00000019","CUST019375","Food & Beverage","Liquid Courage Bar","Water","5","2024-07-19 16:24:56","2024-07-20"
"TXN00000020","CUST020186","Food & Beverage","Riff Refreshments","Fries","6","2024-07-19 20:40:09","2024-07-20"
"TXN00000021","CUST002647","Food & Beverage","Doom Dogs","Fries","6","2024-07-19 16:28:14","2024-07-20"
"TXN00000022","CUST004529","Merchandise","Riff Raff Gear","Flag/Banner","40","2024-07-20 21:54:11","2024-07-21"
"TXN00000023","CUST026084","Merchandise","Riff Raff Gear","Vinyl Record","35","2024-07-19 23:03:59","2024-07-20"
"TXN00000024","CUST025773","Merchandise","Headbanger Heaven","Poster","25","2024-07-19 23:25:11","2024-07-20"
"TXN00000025","CUST015609","Food & Beverage","Liquid Courage Bar","Hot Dog","8","2024-07-20 03:12:42","2024-07-20"
"TXN00000026","CUST010011","Food & Beverage","Thrash Tacos","Water","5","2024-07-20 20:30:34","2024-07-21"
"TXN00000027","CUST015692","Food & Beverage","Liquid Courage Bar","Burger","14","2024-07-21 03:08:28","2024-07-21"
"TXN00000028","CUST025172","Food & Beverage","Metal Munchies","Fries","8","2024-07-18 17:28:52","2024-07-19"
"TXN00000029","CUST026385","Merchandise","Metal Mayhem Merch","Poster","20","2024-07-20 02:45:23","2024-07-20"
"TXN00000030","CUST023231","Food & Beverage","Headbang Burgers","Tacos","12","2024-07-20 20:32:41","2024-07-21"
"TXN00000031","CUST021771","Merchandise","Skull & Bones Co","Hoodie","70","2024-07-18 21:17:57","2024-07-19"
"TXN00000032","CUST026582","Food & Beverage","Riff Refreshments","Soda","5","2024-07-19 02:50:03","2024-07-19"
"TXN00000033","CUST015666","Food & Beverage","Headbang Burgers","Beer","14","2024-07-18 19:11:59","2024-07-19"
"TXN00000034","CUST022261","Food & Beverage","Metal Munchies","Hot Dog","10","2024-07-19 19:14:15","2024-07-20"
"TXN00000035","CUST004061","Food & Beverage","Thrash Tacos","Energy Drink","6","2024-07-20 22:28:25","2024-07-21"
"TXN00000036","CUST001984","Merchandise","Blackened Apparel","Patch","12","2024-07-20 21:56:32","2024-07-21"
"TXN00000037","CUST007435","Food & Beverage","Doom Dogs","Burger","16","2024-07-21 01:53:57","2024-07-21"
"TXN00000038","CUST016927","Food & Beverage","Thrash Tacos","Hot Dog","8","2024-07-20 02:35:51","2024-07-20"
"TXN00000039","CUST016492","Food & Beverage","Stage Dive Pizza","Tacos","14","2024-07-20 17:49:54","2024-07-21"
"TXN00000040","CUST026353","Merchandise","Riff Raff Gear","Flag/Banner","35","2024-07-19 23:07:23","2024-07-20"
"TXN00000041","CUST000970","Food & Beverage","Liquid Courage Bar","Tacos","10","2024-07-18 20:40:19","2024-07-19"
"TXN00000042","CUST000588","Merchandise","Headbanger Heaven","Vinyl Record","40","2024-07-21 03:04:28","2024-07-21"
"TXN00000043","CUST022650","Food & Beverage","Metal Munchies","Hot Dog","8","2024-07-19 16:14:46","2024-07-20"
"TXN00000044","CUST001437","Merchandise","Headbanger Heaven","Hoodie","70","2024-07-20 21:42:51","2024-07-21"
"TXN00000045","CUST029133","Food & Beverage","Doom Dogs","Soda","5","2024-07-21 01:10:41","2024-07-21"
"TXN00000046","CUST005817","Food & Beverage","Thrash Tacos","Tacos","12","2024-07-18 19:58:09","2024-07-19"
"TXN00000047","CUST012025","Food & Beverage","Headbang Burgers","Tacos","14","2024-07-19 16:25:12","2024-07-20"
"TXN00000048","CUST001892","Merchandise","Skull & Bones Co","Poster","20","2024-07-20 02:37:22","2024-07-20"
"TXN00000049","CUST004515","Food & Beverage","Doom Dogs","Hot Dog","10","2024-07-19 22:22:54","2024-07-20"
"TXN00000050","CUST005052","Merchandise","Skull & Bones Co","Patch","10","2024-07-20 23:05:18","2024-07-21"
"TXN00000051","CUST005297","Food & Beverage","Heavy Metal BBQ","Water","5","2024-07-19 17:25:13","2024-07-20"
"TXN00000052","CUST023619","Food & Beverage","Thrash Tacos","Tacos","12","2024-07-20 17:12:18","2024-07-21"
"TXN00000053","CUST018761","Food & Beverage","Heavy Metal BBQ","Pizza Slice","8","2024-07-20 03:02:52","2024-07-20"
"TXN00000054","CUST012199","Food & Beverage","Stage Dive Pizza","Fries","6","2024-07-20 22:35:20","2024-07-21"
"TXN00000055","CUST021519","Food & Beverage","Liquid Courage Bar","Hot Dog","8","2024-07-19 21:44:08","2024-07-20"
"TXN00000056","CUST003936","Food & Beverage","Heavy Metal BBQ","BBQ Plate","15","2024-07-21 01:14:49","2024-07-21"
"TXN00000057","CUST013631","Food & Beverage","Doom Dogs","Beer","12","2024-07-19 00:29:47","2024-07-19"
"TXN00000058","CUST012548","Merchandise","Riff Raff Gear","Hat/Cap","20","2024-07-19 02:03:02","2024-07-19"
"TXN00000059","CUST008018","Food & Beverage","Heavy Metal BBQ","BBQ Plate","15","2024-07-18 18:13:53","2024-07-19"
"TXN00000060","CUST005283","Food & Beverage","Headbang Burgers","Burger","16","2024-07-20 22:19:58","2024-07-21"
"TXN00000061","CUST029671","Food & Beverage","Riff Refreshments","Beer","12","2024-07-21 03:14:07","2024-07-21"
"TXN00000062","CUST023714","Merchandise","Riff Raff Gear","Patch","12","2024-07-19 02:38:43","2024-07-19"
"TXN00000063","CUST023239","Food & Beverage","Doom Dogs","Water","5","2024-07-19 16:05:03","2024-07-20"
"TXN00000064","CUST021295","Food & Beverage","Heavy Metal BBQ","Water","5","2024-07-19 20:40:07","2024-07-20"
"TXN00000065","CUST008943","Merchandise","Headbanger Heaven","Poster","25","2024-07-18 22:35:01","2024-07-19"
"TXN00000066","CUST009365","Merchandise","Riff Raff Gear","Hoodie","60","2024-07-19 19:57:56","2024-07-20"
"TXN00000067","CUST017130","Food & Beverage","Stage Dive Pizza","Energy Drink","8","2024-07-21 03:04:13","2024-07-21"
"TXN00000068","CUST018462","Food & Beverage","Doom Dogs","Energy Drink","7","2024-07-18 16:29:05","2024-07-19"
"TXN00000069","CUST013898","Food & Beverage","Stage Dive Pizza","Tacos","12","2024-07-21 01:24:36","2024-07-21"
"TXN00000070","CUST007350","Merchandise","Riff Raff Gear","Patch","10","2024-07-20 17:32:21","2024-07-21"
"TXN00000071","CUST011852","Merchandise","Skull & Bones Co","CD","12","2024-07-19 19:56:35","2024-07-20"
"TXN00000072","CUST020204","Merchandise","Blackened Apparel","CD","12","2024-07-19 02:32:43","2024-07-19"
"TXN00000073","CUST006527","Food & Beverage","Riff Refreshments","Beer","10","2024-07-21 01:59:57","2024-07-21"
"TXN00000074","CUST004710","Food & Beverage","Headbang Burgers","BBQ Plate","20","2024-07-18 22:03:21","2024-07-19"
"TXN00000075","CUST003104","Merchandise","Riff Raff Gear","Flag/Banner","35","2024-07-18 20:57:16","2024-07-19"
"TXN00000076","CUST026392","Merchandise","Blackened Apparel","Patch","8","2024-07-19 18:54:40","2024-07-20"
"TXN00000077","CUST009099","Food & Beverage","Metal Munchies","BBQ Plate","15","2024-07-20 02:57:21","2024-07-20"
"TXN00000078","CUST015754","Merchandise","Blackened Apparel","Flag/Banner","30","2024-07-21 01:31:49","2024-07-21"
"TXN00000079","CUST020045","Food & Beverage","Metal Munchies","Energy Drink","6","2024-07-19 19:46:30","2024-07-20"
"TXN00000080","CUST013935","Food & Beverage","Metal Munchies","Water","4","2024-07-18 18:49:55","2024-07-19"
"TXN00000081","CUST019570","Merchandise","Skull & Bones Co","T-Shirt","35","2024-07-20 23:35:37","2024-07-21"
"TXN00000082","CUST020390","Food & Beverage","Metal Munchies","Tacos","10","2024-07-20 03:35:21","2024-07-20"
"TXN00000083","CUST020288","Food & Beverage","Liquid Courage Bar","Beer","10","2024-07-18 20:27:39","2024-07-19"
"TXN00000084","CUST015916","Food & Beverage","Doom Dogs","Water","5","2024-07-18 22:32:23","2024-07-19"
"TXN00000085","CUST014670","Food & Beverage","Headbang Burgers","Fries","6","2024-07-19 01:41:47","2024-07-19"
"TXN00000086","CUST025945","Merchandise","Blackened Apparel","Patch","8","2024-07-19 00:23:01","2024-07-19"
"TXN00000087","CUST005190","Merchandise","Headbanger Heaven","Vinyl Record","30","2024-07-20 03:24:14","2024-07-20"
"TXN00000088","CUST025304","Merchandise","Skull & Bones Co","Vinyl Record","30","2024-07-20 18:10:12","2024-07-21"
"TXN00000089","CUST026787","Food & Beverage","Thrash Tacos","Soda","5","2024-07-18 23:21:55","2024-07-19"
"TXN00000090","CUST016885","Merchandise","Riff Raff Gear","Poster","15","2024-07-20 21:32:47","2024-07-21"
"TXN00000091","CUST028757","Merchandise","Blackened Apparel","Hat/Cap","20","2024-07-19 18:55:17","2024-07-20"
"TXN00000092","CUST027385","Food & Beverage","Stage Dive Pizza","BBQ Plate","20","2024-07-18 19:38:00","2024-07-19"
